date,title
08/29,集保eNotice平台上線不到2個月 逾20萬人使用
08/29,台灣艾司摩爾林口設廠增資百億元 投審會點頭
08/29,全球首家 高端新冠疫苗技術授權世衛C-TAP計畫
08/29,Gogoro首推機車界的複合人文空間 城市概念店亮相
08/29,巴拿馬運河乾旱難見運價掀飆風？四維航：恐是短期現象
08/29,AI伺服器帶動PCB：台燿、金像電、欣興
08/29,中鋼成立碳管理示範團隊 加速國內鋼鐵產業鏈低碳轉型
08/29,泰碩推選新董事長 信音總經理彭朋煌接任
08/29,國泰投信推出首檔月配+收益平準金債券ETF 小資價15元搶市
08/29,外資調節聯電母子2.8萬張 連四天敲進潤泰新逾兩萬張
08/29,避免資金大逃殺利多提前一個月上路！金管會開放外資拿台股借外幣
08/29,各國央行「鷹」聲未停 聯德控股-KY主動撤回4億元CB籌資案
08/29,〈台幣〉新台幣量縮狹幅震盪 小貶1分收在31.884元
08/29,大股東干政修法大限縮到只剩罰鍰 黃天牧以28字古禪詩表心境
08/29,威宏-KY上半年EPS達4.35元 估下半年業績逐季成長
08/29,【量大強漲股整理】台股迎接Q3作帳行情，政策股該如何選? ?
08/29,9月度小月! 生技軍工逢回佈局！
08/29,首檔「月月配」台股基金來了！這一理由看好台股9月好買點
08/29,台灣製造業去庫存能力轉弱 去年存貨周轉率跌破10% 為14年來新低
08/29,AI族群開始降溫 軍工碳權墊檔演出 專家:9月起注意這個主角
08/29,廣華-KY接獲比亞迪新單 明年下半年出貨
08/29,台積電德國設廠獲巨額補助 格芯揚言向歐盟申訴
08/29,〈台股盤後〉尾盤漲勢擴大 漲114點收16623點站回5日線
08/29,【產業概觀】CoWoS是什麼?先進製程的封裝技術之一！概念股一次看
08/29,台灣高鐵喜迎旺檔 中秋連假加開逾130班疏運
08/29,貿易戰遷徙效應 上半年我對東協投資比重超越中國
08/29,〈車市〉保時捷史上最強大Cayenne改款亮相 最貴款要價近千萬
08/29,七月半的鴨子
08/29,〈台股盤中〉航太軍工股陷回檔壓力 大盤量縮狹幅震盪
08/29,大宇紡織龜山逾3200坪廠房13.29億元賣出 貢獻每股8.19元
08/29,番茄汁可幫助入睡？茄紅素外還有這個優質成分
08/29,彰銀結合公益 舉辦射箭嘉年華活動親子同樂
08/29,彭博：蘋果供應鏈大分裂 製造商擬30-50%產能撤出中國
08/29,〈台股盤前〉小反彈走勢後 多方正待這「信號」出現再揮強棒
08/29,美法官駁回鴻海動議 稱Lordstown有正當理由聲請破產保護
08/29,〈台股盤前要聞〉郭台銘宣布參選總統、Q4景氣燈號可望變燈 今日必看財經新聞
08/28,公平會延長台台併審議期 台灣大：將持續積極配合
08/28,外資減碼航空雙雄3.8萬張 回抱三檔AI股
08/28,〈台幣〉外資匯出 新台幣由升轉貶 小貶2.4分收31.874元
08/28,元晶獲30億元高效模組訂單 Q3完成所有交貨
08/28,台廠PCB產值今年恐衰退 工研院：明年恢復成長且估達8.1%幅度
08/28,〈BTC大會〉保瑞董座：台灣生技產業能以六面向迎戰兩大機會
08/28,7月景氣燈號連9藍 國發會估Q4有望變燈號
08/28,【量大強漲股整理】軍工股全面發動，三訊號，早有跡象?台股Q3行情有機會先蹲後跳?
08/28,光隆續提高成衣營收比重 目標2026年達7成占比
08/28,中鋼7月稅前虧損4億元 較前月擴大逾10倍
08/28,藍海變紅海 電子五哥毛利率恐下滑
08/28,【新台股龍捲風】 AI還在睡，軍工撿到槍，接下來？
08/28,聯電名列NVDA供應鏈 CoWoS訂單進補
08/28,台泥攜手和平國小推減碳生活存摺 模擬碳幣交易
08/28,南山人壽勇奪2023史蒂夫金獎、銀獎 分眾化癌症商品與健康守護服務
08/28,〈郭台銘選總統〉鴻海：不會參加政治活動 公司是全體股東共同擁有
08/28,〈焦點股〉生華科晚期細胞癌一期臨床將公布數據 跳空鎖漲停
08/28,【總經焦點】央行年會鷹中帶鴿，Fed不會改變2%的通膨目標，後續貨幣政策、台美股展望一次掌握
08/28,客戶觀望成交量縮 豐興鋼筋開平盤
08/28,〈BTC大會〉旅美生技巨擘楊育民：台灣朝向跨國合作 切入兩大藥物領域
08/28,再生能源投資夯 五大領域挖掘潛力股
08/28,〈台股盤中〉AI概念股賣壓沉重 IC設計族群出頭撐盤
08/28,美元指數走強、新台幣應聲重貶，跌勢何時方休？！
08/28,〈台幣〉台股漲+出口商拋匯 新台幣升至31.8元
08/28,〈焦點股〉貿聯-KY Q2獲利走弱重挫跌停 存貨跌價損失Q4可望回沖
08/28,台股大幅震盪，反彈條件未消失
