date,title
2022/01/02,〈台股風向球〉台積電領軍半導體鳴槍衝 高點不預設立場
2022/01/03,〈0103強震〉北部規模6.0地震 台積電、聯電生產未受影響
2022/01/03,外資大買台積電、賣航空雙雄 對台股連9買砸逾千億元
2022/01/03,台積電今年營運動能更強 美系外資上調目標價至1035元
2022/01/03,和益子公司拿下中油高煉廠整治藥劑大單 大啖台積電擴廠商機
2022/01/03,〈台股盤中〉台積電撐盤 一度強漲逾百點衝上18379點再創新高
2022/01/04,台積電今年首度發行綠債 總額54億元
2022/01/04,內外資再度聯手敲進台積電 連兩日砸逾400億元
2022/01/05,台積電元老級大將王建光申請退休 由副總李俊賢接手
2022/01/05,大立光1/13法說會「強碰」台積電 法人最關注毛利率走勢
2022/01/06,〈台股盤後〉電子乏力回測10日線 台積電甩尾跌點收斂挫132點
2022/01/09,台積電+大立光法說、2021年稅收統計 本周大事預告
2022/01/10,【台股龍捲風】 台積電營收創高 智原精星昇達科大漲 接下來?
2022/01/10,台積電去年營收衝破1.5兆元 與12月、Q4同締新猷
2022/01/10,〈台股盤中〉台積電一夫當關 大盤開低走高翻紅力守月線
2022/01/11,外資估台積電今年營收成長27% 目標價上調至982元
2022/01/11,日媒：台積電若獲得日本政府補助 至少須生產10年
2022/01/12,外資力挺 台積電法說前夕市值重回17兆元
2022/01/12,外資最愛4檔金融股 連2買台積電、連3買台灣50反1
2022/01/12,〈台股盤後〉台積電拉尾、金融塑化續強 大盤連3紅收復所有短均
2022/01/13,〈台積電法說〉展望亮眼寫五大驚奇 ADR早盤大漲逾9.5%
2022/01/13,〈台積電法說〉今年營收估成長近3成、資本支出大增 一文看懂八大重點
2022/01/13,〈台積電法說〉今年資本支出大增至400億美元起跳 設備廠營運可望再繳好成「積」
2022/01/13,〈台積電法說〉劉德音：日本合資設廠是特殊案例 歐洲設廠仍在早期階段
2022/01/13,「女王聊盤室」：除趨勢族群外，台積電提高資本支出，你還可以留意「這個」族群
2022/01/13,〈台積電法說〉英特爾擴大自製產能 魏哲家：規劃已考量在內 不依靠單一客戶
2022/01/13,〈台積電法說〉今年營收增幅最高接近3成 長期毛利率超過53%
2022/01/13,〈台積電法說〉今年資本支出400-440億美元 較去年大增逾33%
2022/01/13,〈台積電法說〉Q1營收季增上看9%再創高 毛利率可望重回53%以上
2022/01/13,〈台積電法說〉去年稅後純益5965億元 每股賺23.01元 與Q4獲利同寫新猷
2022/01/13,1/13 台積電法說會 相關受惠股都在這
2022/01/13,操盤手看台股：上市強過上櫃，台積電及一族群成強勢主因
2022/01/14,〈聯發科展望〉已提前預付台積電訂金 確保晶圓產能
2022/01/14,三大法人連3買 外資狂掃貨台積電
2022/01/14,法說後股價兩樣情 台積電大漲近2%、大立光打入跌停
2022/01/14,〈台股盤前要聞〉台積電今年營收估增近3成、億光迎羅姆轉單 今日必看財經新聞
